2019-11-14 10:17:07.380: IP:192.168.228.11机型EastRiver, ER1000CT
2019-11-14 10:17:50.791: IP:192.168.228.13机型EastRiver, ER1000CT
2019-11-14 10:28:57.137: IP:192.168.20.10机型EastRiver, ER1000CT
2019-11-14 10:29:44.017: IP:192.168.20.10机型EastRiver, ER1000CT
2019-11-14 10:37:28.056: IP:192.168.228.15机型EastRiver, ER1000CT
2019-11-14 10:47:17.926: IP:192.168.228.15机型EastRiver, ER1000CT
2019-11-14 10:52:16.570: IP:192.168.20.10机型EastRiver, ER1000CT
2019-11-14 10:53:30.528: IP:192.168.228.17机型EastRiver, ER1000CT
2019-11-14 10:57:25.073: IP:192.168.20.10机型EastRiver, ER1000CT
2019-11-14 10:58:06.386: IP:192.168.228.19机型EastRiver, ER1000CT
2019-11-14 11:01:00.607: IP:192.168.20.10机型EastRiver, ER1000CT
2019-11-14 11:01:39.059: IP:192.168.228.21机型EastRiver, ER1000CT
2019-11-14 11:03:27.937: IP:192.168.20.10机型EastRiver, ER1000CT
2019-11-14 11:04:04.107: IP:192.168.228.23机型EastRiver, ER1000CT
2019-11-14 11:06:37.632: IP:192.168.20.10机型EastRiver, ER1000CT
2019-11-14 11:07:12.827: IP:192.168.228.25机型EastRiver, ER1000CT
